gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
PRSS42,ENSG00000178055,ENST00000429665,transcript,ENSG00000178055,32.23947509,32.08523598
SPESP1,ENSG00000258484,ENST00000310673,transcript,ENSG00000258484,31.52655972,32.08523852
ARHGEF11,ENSG00000132694,ENST00000368194,transcript,ENSG00000132694,32.03723451,32.08524302
TM9SF1,ENSG00000254692,ENST00000530611,transcript,ENSG00000254692,32.11406794,32.0852943
SPATA12,ENSG00000186451,ENST00000334325,transcript,ENSG00000186451,30.53799081,32.08530877
OIP5,ENSG00000104147,ENST00000220514,transcript,ENSG00000104147,32.02111923,32.0856201
DPY30,ENSG00000162961,ENST00000342166,transcript,ENSG00000162961,31.73786163,32.08572081
IFT52,ENSG00000101052,ENST00000373030,transcript,ENSG00000101052,31.84940512,32.08596663
SERPINB11,ENSG00000206072,ENST00000544088,transcript,ENSG00000206072,32.13100518,32.08601047
PPFIA4,ENSG00000143847,ENST00000272198,transcript,ENSG00000143847,32.01099468,32.08615976
TRAM1L1,ENSG00000174599,ENST00000310754,transcript,ENSG00000174599,31.80719762,32.08617073
PTTG1IP,ENSG00000183255,ENST00000330938,transcript,ENSG00000183255,32.35103982,32.08627977
MRPL2,ENSG00000112651,ENST00000388752,transcript,ENSG00000112651,31.2297741,32.08639225
ZNF639,ENSG00000121864,ENST00000326361,transcript,ENSG00000121864,31.75050335,32.08656661
DLC1,ENSG00000164741,ENST00000276297,transcript,ENSG00000164741,31.96084102,32.08681236
TMPRSS3,ENSG00000160183,ENST00000291532,transcript,ENSG00000160183,32.20960104,32.08686214
UGT1A5,ENSG00000240224,ENST00000373414,transcript,ENSG00000240224,31.94533514,32.08691602
DNAJB2,ENSG00000135924,ENST00000336576,transcript,ENSG00000135924,32.02023866,32.08710842
OR52B2,ENSG00000255307,ENST00000530810,transcript,ENSG00000255307,31.99228267,32.08712487
GPR25,ENSG00000170128,ENST00000304244,transcript,ENSG00000170128,31.99960621,32.0871265
TPBG,ENSG00000146242,ENST00000369750,transcript,ENSG00000146242,31.56812237,32.08726825
C10orf62,ENSG00000203942,ENST00000370640,transcript,ENSG00000203942,31.75674376,32.08732138
TMX2,ENSG00000213593,ENST00000278422,transcript,ENSG00000213593,31.79399262,32.08737571
TRIM44,ENSG00000166326,ENST00000299413,transcript,ENSG00000166326,31.95776371,32.0873932
C2orf66,ENSG00000187944,ENST00000342506,transcript,ENSG00000187944,31.93045222,32.08740683
TBX6,ENSG00000149922,ENST00000395224,transcript,ENSG00000149922,31.57885478,32.08781182
SYTL1,ENSG00000142765,ENST00000543823,transcript,ENSG00000142765,32.03220769,32.087903
ZFAND1,ENSG00000104231,ENST00000220669,transcript,ENSG00000104231,31.94975459,32.08805503
DDX55,ENSG00000111364,ENST00000238146,transcript,ENSG00000111364,31.83077455,32.08809646
NOM1,ENSG00000146909,ENST00000275820,transcript,ENSG00000146909,31.97309266,32.08811569
OSMR,ENSG00000145623,ENST00000274276,transcript,ENSG00000145623,32.0188587,32.08821047
CDCA2,ENSG00000184661,ENST00000330560,transcript,ENSG00000184661,31.94537084,32.08828557
ADM2,ENSG00000128165,ENST00000395738,transcript,ENSG00000128165,31.28378295,32.08829057
TRIM2,ENSG00000109654,ENST00000338700,transcript,ENSG00000109654,31.77175826,32.08838667
ZNF566,ENSG00000186017,ENST00000454319,transcript,ENSG00000186017,32.1121918,32.08847303
TTC36,ENSG00000172425,ENST00000302783,transcript,ENSG00000172425,31.50953063,32.08849447
ST5,ENSG00000166444,ENST00000534127,transcript,ENSG00000166444,31.83907991,32.08860726
CYP27A1,ENSG00000135929,ENST00000258415,transcript,ENSG00000135929,32.22403443,32.08890681
IFT46,ENSG00000118096,ENST00000264020,transcript,ENSG00000118096,31.72662297,32.08896454
SRSF5,ENSG00000100650,ENST00000553521,transcript,ENSG00000100650,31.82130079,32.08896576
TGFA,ENSG00000163235,ENST00000295400,transcript,ENSG00000163235,32.03457063,32.08920902
GJA3,ENSG00000121743,ENST00000241125,transcript,ENSG00000121743,29.71290159,32.08938161
CA12,ENSG00000074410,ENST00000178638,transcript,ENSG00000074410,32.04141817,32.08941763
NARF,ENSG00000141562,ENST00000309794,transcript,ENSG00000141562,32.01074429,32.08942503
NUDC,ENSG00000090273,ENST00000321265,transcript,ENSG00000090273,32.10182055,32.08966115
KLRF1,ENSG00000150045,ENST00000279544,transcript,ENSG00000150045,31.89798194,32.08978226
ARSI,ENSG00000183876,ENST00000328668,transcript,ENSG00000183876,31.83545247,32.08980481
GOLGA5,ENSG00000066455,ENST00000163416,transcript,ENSG00000066455,32.01441799,32.08984696
ALDH3A2,ENSG00000072210,ENST00000339618,transcript,ENSG00000072210,32.10607863,32.09020809
WDR54,ENSG00000005448,ENST00000348227,transcript,ENSG00000005448,32.10292652,32.09028623
PLEKHF2,ENSG00000175895,ENST00000315367,transcript,ENSG00000175895,28.65587216,32.09049531
HOPX,ENSG00000171476,ENST00000554144,transcript,ENSG00000171476,31.88837759,32.0905889
BZRAP1,ENSG00000005379,ENST00000343736,transcript,ENSG00000005379,32.04194768,32.09062701
TCF19,ENSG00000137310,ENST00000376257,transcript,ENSG00000137310,32.44544538,32.0907049
